"filename", "language", "mcfunction", "comment", "blank", "total"
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\actionbar_ui.mcfunction", "mcfunction", 14, 4, 0, 18
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\apply.mcfunction", "mcfunction", 22, 4, 1, 27
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\discharge.mcfunction", "mcfunction", 11, 2, 1, 14
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\enhanced_attack.mcfunction", "mcfunction", 5, 2, 1, 8
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\enhanced_attack_regen.mcfunction", "mcfunction", 1, 0, 0, 1
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\item\available.mcfunction", "mcfunction", 5, 0, 0, 5
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\item\ban.mcfunction", "mcfunction", 4, 1, 1, 6
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\item\change_available_name.mcfunction", "mcfunction", 2, 0, 0, 2
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\item\change_ban_item_name.mcfunction", "mcfunction", 2, 0, 0, 2
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\main_weapon_attack.mcfunction", "mcfunction", 2, 3, 0, 5
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\particle1.mcfunction", "mcfunction", 6, 1, 0, 7
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\reduce_san.mcfunction", "mcfunction", 1, 0, 0, 1
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\run.mcfunction", "mcfunction", 5, 0, 0, 5
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\main_weapon\weak_attack_victim.mcfunction", "mcfunction", 4, 1, 0, 5
